id_name,comment,praisenum,time
等你下课,杰伦哥 混不走了 希望你能借我点钱 实在无法了[em]e400841[/em],0,2019/9/17 23:50
、                  ,整个青春[em]e400834[/em]一眨眼功夫,0,2019/9/17 23:48
P   y   m  .,总算没有了胸肌和麦造了,0,2019/9/17 23:48
　   ,不管怎么说，其实我还爱你。,0,2019/9/17 23:47
h,好好听,0,2019/9/17 23:47
Li   王令,哎哟不错,0,2019/9/17 23:46
十字架·、,啦啦啦,0,2019/9/17 23:46
yomasa,越听越好听,0,2019/9/17 23:45
社会我鑫哥,当中或多或少都有自己的影子，曾经拥有的东西失去了，并不代表就会回到原来没有那种东西的时候。,0,2019/9/17 23:45
Mole.,哎,0,2019/9/17 23:45
做一个暖暖的人,一开始听觉得一般，但越听越好听，好作品值得细细品味，看MV竟然有点想哭的冲动[em]e400867[/em],0,2019/9/17 23:44
?孤城,七年了，放不下的人是我，这辈子谁又说的准呢,0,2019/9/17 23:44
往后余生&xzc,真心觉得，不怎么喜欢,0,2019/9/17 23:44
你头发乱了喔,lzw你真是个坏人,0,2019/9/17 23:44
。o O,听一首歌，都揣着自己仅有的小心思，想着属于这首歌的人儿，总而言之，一首歌，就是一个小世界。[em]e400831[/em],0,2019/9/17 23:43
Dekyichodron,带上他一起去看的你的演唱会……等我,0,2019/9/17 23:43
Tanner,什么时候出专辑啊？,0,2019/9/17 23:43
。o O,江朗才尽！跟周星驰一样,0,2019/9/17 23:41
鹏同学,终于又出新歌了，非常感人,1,2019/9/17 23:41
。o O,真心觉得，不怎么喜欢,0,2019/9/17 23:41
会飞的桃,杰伦啊，你终于奶茶喝腻啦！游戏玩够啦！肯出专辑啦！我们等得好辛苦啊！感觉有生之年啊！[em]e400826[/em][em]e400825[/em][em]e400825[/em],0,2019/9/17 23:39
王世燊,杰伦的歌要听多两遍才会出韵味,1,2019/9/17 23:38
往后余生&xzc,真心觉得，不怎么喜欢,0,2019/9/17 23:37
island,这是我的青春啊！,0,2019/9/17 23:37
whatever,江朗才尽！跟周星驰一样,0,2019/9/17 23:36
_,对不起，来晚了。[em]e400625[/em],1,2019/9/17 23:35
狸猫唤太子,爱了爱了,0,2019/9/17 23:35
吒儿.,如果有一天 我带你去看周杰伦的演唱会 那么你一定对我很重要 因为我带你去看的 是我一整个青春[em]e401137[/em],0,2019/9/17 23:33
石健,这几天，杰伦的手机是不是一直在响：“微信收款 3元”,2,2019/9/17 23:32
故渊,第一次花钱买一首歌,3,2019/9/17 23:31
Shawn,豆瓣就是一群没有乐理知识的青铜评价俩个王者 笑死了 说情怀 外国人说好听总没有情怀吧,0,2019/9/17 23:30
陈,如果有一天 我带你去看周杰伦的演唱会 那么你一定对我很重要 因为我带你去看的 是我一整个青春[em]e401137[/em],0,2019/9/17 23:30
:-T,第一次买专辑。第一次开绿钻。都给了你呀,0,2019/9/17 23:29
布吉岛也是岛,那些说一般的大多数无非是假杰伦的歌迷，但凡等了一年多才等到新歌的歌迷，绝对不会在静下心听几遍前就发表什么大不如前，江郎才尽的评论，反正我是听了50遍后，觉得还是那个味道。,1,2019/9/17 23:29
LJay,周杰伦已经是一首最好的歌了，一定会一直支持下去,0,2019/9/17 23:28
南柯一梦,周青春 你好,1,2019/9/17 23:28
，,什么都没有,0,2019/9/17 23:27
ヾ淺色年華?,刚睡醒就买了这张专辑    太好听了,0,2019/9/17 23:26
顾念ペ,第一次花钱听一首歌吧！！！ ,0,2019/9/17 23:26
吴波,怎么搞的！！！分分钟就快700万了。让小鲜肉怎么混了啊！！！！！！！！！！！！！！！,0,2019/9/17 23:26
JasonG,lwt,0,2019/9/17 23:24
六毛先生,比较了一下周杰伦和林林俊的最近的两首歌，我甚至觉得林的水平略高，周只是销量高于林，那么为什么周的粉丝要来林的歌曲底下酸，你们有病吧？ ,1,2019/9/17 23:24
B orage。,今天对刚出生15天的儿子说 等你长大了带你去看我偶像周杰伦的演唱会噢  所以周杰伦你一定要继续唱下去,1,2019/9/17 23:23
Lemon,昨天新歌发布后软件一直挤不进去 或许这就是周杰伦的魅力的！,0,2019/9/17 23:23
ＺＺＣＣ,从小学到现在十五年了，从简单爱到说好不哭，这一路都不知道经历了什么，物是人非，你的那个他还在吗？,0,2019/9/17 23:23
断念,江朗才尽！跟周星驰一样,1,2019/9/17 23:22
走笔至此搁一半,周杰伦就是我小学就喜欢上了[em]e400826[/em]一直支持你,0,2019/9/17 23:20
烬,说实在的大不如从前了，有点失望,1,2019/9/17 23:19
手写的从前,江朗才尽！跟周星驰一样,1,2019/9/17 23:19
LayZhong,支持杰伦的机会不多了,1,2019/9/17 23:18
Boss.,变身,0,2019/9/17 23:17
瓦解,杰伦的歌强就强在曲美 词有内涵有意义 mv拍的内容包含丰富。说是口水歌的我不知道你们知不知道什么叫口水歌。或许就只有秀唱功无病呻吟才能吸引你们吧,1,2019/9/17 23:17
Timeless,阿信竟然喧宾夺主！,0,2019/9/17 23:17
百龄,你还是你,0,2019/9/17 23:15
SELF-DISCIPLINE,我听的第一首歌就是《稻香》 在那之后，我爱上了音乐,1,2019/9/17 23:15
NEW GAME！,周董 阿信，神仙组合啊！[em]e400835[/em][em]e400832[/em],2,2019/9/17 23:14
fatum,"这首歌我就不收藏也不下载了,如果有人看到这句话的话麻烦点个赞,收到消息我就会进来听一遍,算是我给自己的惊喜吧……",4,2019/9/17 23:13
ZX,江朗才尽！跟周星驰一样,2,2019/9/17 23:12
污妖王.,一直陪伴 ,0,2019/9/17 23:12
农夫山泉有点甜,第一次买歌听！因为昨天的我体会到了失而复得再是去的体验！一厢情愿罢了，何来谁对谁错，更谈不上愧疚！打扰了WX我曾经爱的深入骨髓的人！,0,2019/9/17 23:11
污妖王.,周杰伦 爱了 ,0,2019/9/17 23:11
╰一路向北╮,从初中到高三，低谷的时候听听杰伦的歌，高兴的时候听听杰伦的歌，伤心的时候听听杰伦的歌，怀念啊，为什么我眼睛红了?应该是进沙子了，说好不哭呢?,3,2019/9/17 23:11
南风不成卿,好好听，越听越好听了。虽然我是00后，但我很喜欢Jay的歌，希望长大后有机会看杰伦的演唱会[em]e400867[/em][em]e400867[/em][em]e400867[/em],3,2019/9/17 23:08
小雨写立可白,记得那年高中存了好久的钱买了iPod nano就为了听周董的歌，如今已不复存在，满满的回忆，淡淡的幸福。,3,2019/9/17 23:08
Jerry,希望有一天，我也能遇见一个我能全心全意对她好，或者满眼都是我的女孩子,1,2019/9/17 23:07
??Fosse,如果有一天 我带你去看周杰伦的演唱会 那么你一定对我很重要 因为我带你去看的 是我一整个青春[em]e401137[/em],0,2019/9/17 23:07
铁马,火影忍者结束了七龙珠Z结束了死神结束了科比退役了周杰伦也快慢慢去享受生活了就还有一个海贼王了。海贼王在结束了我的青春记忆真的什么都没有了。,0,2019/9/17 23:06
七七里里香香,如果有一天 我带你去看周杰伦的演唱会 那么你一定对我很重要 因为我带你去看的 是我一整个青春[em]e401137[/em],1,2019/9/17 23:04
不要香菜不要鱼的火锅,特别棒,0,2019/9/17 23:03
Moment、,杰伦最强,1,2019/9/17 23:01
沉淀,说真的，如果换个人唱，可能这首歌我不能听到结尾。,1,2019/9/17 23:01
邻家的派豆龙,三厨狂喜,0,2019/9/17 22:59
氷宺,火影忍者结束了七龙珠Z结束了死神结束了科比退役了周杰伦也快慢慢去享受生活了就还有一个海贼王了。海贼王在结束了我的青春记忆真的什么都没有了。,2,2019/9/17 22:56
中国姑娘,三年前给自己许下了陪你去Jay演唱会的承诺，今年又要失约了。,1,2019/9/17 22:56
白茶清欢,我充钱了,0,2019/9/17 22:56
(?ω?)hiahiahia,"永远的音乐皇帝,你创作的音乐永远是超前得,平 庸人是不会懂的",2,2019/9/17 22:56
我是光 ?,周杰伦的歌陪伴了我们整个青春,0,2019/9/17 22:55
执念,比较了一下周杰伦和林林俊的最近的两首歌，我甚至觉得林的水平略高，周只是销量高于林，那么为什么周的粉丝要来林的歌曲底下酸，你们有病吧？ ,0,2019/9/17 22:54
长乐,永远的杰伦 永远的青春 一起加油长大优秀,0,2019/9/17 22:53
致我们终将逝去的青春,是他陪伴我度过我的青春 听他的歌慢慢的都是回忆 回忆里我的朋友和我的那个他,0,2019/9/17 22:53
傑作,比较了一下周杰伦和林林俊的最近的两首歌，我甚至觉得林的水平略高，周只是销量高于林，那么为什么周的粉丝要来林的歌曲底下酸，你们有病吧？ ,1,2019/9/17 22:53
凉辰,虽然杰伦的歌都要付费听 好在几乎每首歌都有MV 而MV是可以免费听免费看滴！这首挺好,0,2019/9/17 22:53
潘国飞先生,说好不哭，还是哭了,0,2019/9/17 22:52
Delete隐身,单曲循环中越听越好听[em]e400825[/em],1,2019/9/17 22:52
My Name碩哥メメ,Jay的，必须要买，支持就是买哦，你们赶紧来[em]e400850[/em],0,2019/9/17 22:52
痛到无力挽回,还我三块  ,1,2019/9/17 22:51
王永德  - 国医馆理疗,这首歌的曲风有点接近《说好的幸福呢》，旋律超级棒，耐人寻味，歌词太过平铺直叙，有一种广场舞歌词的感觉。求方文山好好写词。,1,2019/9/17 22:51
K-imberly,我的杰伦还是那么棒[em]e400409[/em][em]e400836[/em],0,2019/9/17 22:51
二十三.,第一次买专辑[em]e400825[/em]感觉值了,0,2019/9/17 22:51
张志杰,一首感动颇深的歌曲，弦乐让人走进自己的故事中去。最后微笑祝你过的越来越好！也期待目标实现。,0,2019/9/17 22:51
梦未醒,说好不哭,0,2019/9/17 22:50
Kong,他回来了，我也想为他的梦加油,2,2019/9/17 22:49
OMG 菇凉你好嘿,呃呃呃呃呃呃,0,2019/9/17 22:49
执念,比较了一下周杰伦和林林俊的最近的两首歌，我甚至觉得林的水平略高，周只是销量高于林，那么为什么周的粉丝要来林的歌曲底下酸，你们有病吧？ ,0,2019/9/17 22:48
??,还我三块  ,2,2019/9/17 22:48
林蓝天,11整点 就守候着你的新歌 宿舍里 偷偷抱着手机 戴着耳塞 重复听了好几遍那么就爱上了 我相信喜欢你的学生党们也都跟我一样吧 毕竟你是青春[em]e401148[/em],1,2019/9/17 22:48
烧肉粽,周杰伦就是周杰伦[em]e400408[/em][em]e400848[/em],0,2019/9/17 22:48
洛卡特利,好几个人给我说是《退后》2.0，《我不配》2.0，充满了期待买来听。客观来讲，这首歌在结巴自己的歌曲里面，真的很一般，最多算是《明明就》X 80%,1,2019/9/17 22:47
雲端々落日,原来其中有两句是算什么男人的调调，听着好熟悉[em]e400825[/em],0,2019/9/17 22:46
丫旳丶你抽风,为什么就一首 不是专辑吗,0,2019/9/17 22:45
我的大头儿子不见了,老曹，我还是很爱你,0,2019/9/17 22:45
点解。,现在的世界太浮躁，杰伦的歌已经不能惊艳了，杰伦的歌要用品的,1,2019/9/17 22:45
逍遙異,乐坛皇帝周杰伦,0,2019/9/17 22:44
闭嘴 .,你是整个青春,0,2019/9/17 22:43
晴天,杰伦不是人民币，他不能做到人人都喜欢,5,2019/9/17 22:42
一个大脸猫丶,满怀期待等候多时并且重新下回了qq音乐就是为了此时此刻第一时间来听我伦新歌！！！,1,2019/9/17 22:42
允和,即使我什么都没有，也会一直为你加油,2,2019/9/17 22:42
。,我的青春,1,2019/9/17 22:41
Charles Loh,肯定要第一时间支持，毕竟我支持的是我一整个青春—一个现在上有老下有小的八零后,1,2019/9/17 22:40
梵高,我好喜欢,0,2019/9/17 22:40
祈,每人三块给周先生众筹买奶茶[em]e400824[/em],0,2019/9/17 22:39
岁月偷走了我的城、,情怀也好，怀念也罢。缅怀我们的青春。支持杰伦。,1,2019/9/17 22:39
Jerry.,我的童年青春,0,2019/9/17 22:39
Jerry.,必须支持,0,2019/9/17 22:39
Jerry.,支持了,0,2019/9/17 22:39
莓ゃ,无与伦比,0,2019/9/17 22:39
飛雲,为什么一定要用两个日本人不可?,0,2019/9/17 22:39
你好吗,我的青春里住着一个叫周杰伦的人,0,2019/9/17 22:39
木偶人,杰伦以前火我知道，但是现在他依然是最棒的，00后支持杰伦！,1,2019/9/17 22:38
依依,你新歌我从早上循环听到了晚上,0,2019/9/17 22:37
一帆风顺,希望创造奇迹,0,2019/9/17 22:36
窗外的颜,想要来听一场周董的演唱会,0,2019/9/17 22:36
生人泽雨,我为这两个胖子又一次点亮绿钻，距上次已有8年了,0,2019/9/17 22:35
Viggo,不必多说，时间到了就什么事都会明白[em]e400867[/em][em]e400867[/em][em]e400867[/em],0,2019/9/17 22:35
麦田守望者,声音不再，不再酷酷的,0,2019/9/17 22:34
远在咫尺,看着评论从一千多到两千多三千多，我还是没有打开[em]e400867[/em]哭晕，为了这首歌重新下回QQ音乐，但好像它炸掉了,1,2019/9/17 22:34
KaNiNi,我們成長了，不後悔青春,1,2019/9/17 22:34
?℡睡著的大提琴,你什么都没有，却还为我的梦加油！,0,2019/9/17 22:34
我没你照样过,歌词很简单，描述的是内心深处的声音,0,2019/9/17 22:33
.,为啥这歌越听越好听？？？,2,2019/9/17 22:33
sss_,感谢青春～,0,2019/9/17 22:33
落黎,越听越喜欢！杰伦！永远有多远，我就爱你有多远！,0,2019/9/17 22:31
光影,从wy滚回来买新专…好满足…且快乐[em]e400867[/em],0,2019/9/17 22:29
依古比古??,我的男孩,0,2019/9/17 22:29
Yuriax,三块钱我能给杰伦再买一杯奶茶！！,1,2019/9/17 22:29
命运和弦,有一段青春 叫周杰伦 有一种偏爱 叫周杰伦 有一个偶像 叫周杰伦 有一首情歌 叫周杰伦 有一种等待 叫周杰伦,0,2019/9/17 22:29
光影,工地搬砖一天怀着诚挚的心来购买了收费的音乐 ?白瞎了了我三块 ?人间不值得我要回农村专辑太坑人 砖头也烫手?,3,2019/9/17 22:27
木茶,高中和大学的时候（03年-10年）整天整天听Jay的歌，十二新作以后听的少了，现在他每次新出歌都会关注，但是好像再也找不回那种感觉。,1,2019/9/17 22:26
　　　　　,2005～2019，感谢你陪我长大，我希望有一天我带着我心爱的那个他，一起去看你的演唱会！你好！我的青春！,1,2019/9/17 22:26
Nero,为什么朋友圈分享不了了呀,1,2019/9/17 22:25
刘某人,周氏情歌，一如既往好听,0,2019/9/17 22:25
洋洋,周杰伦的歌必须支持，每首都是经典。[em]e400825[/em],1,2019/9/17 22:25
嘀嘀啦哒哒,我想知道怎么赠送朋友,0,2019/9/17 22:25
老於世故,怎么火 进都进不去,0,2019/9/17 22:24
绅士,整个青春了,0,2019/9/17 22:24
光影,听着音乐看着MV我哭了，因为jav是陪我青春，也有一个女孩和我8年，可惜现在没在一起了，听着歌感觉有一小部分是我的青春爱情,0,2019/9/17 22:23
7,很庆幸  我的青春追对了人,1,2019/9/17 22:22
功亏一篑,无与伦比,0,2019/9/17 22:22
半岛铁盒,高中和大学的时候（03年-10年）整天整天听Jay的歌，十二新作以后听的少了，现在他每次新出歌都会关注，但是好像再也找不回那种感觉。,0,2019/9/17 22:22
功亏一篑,杰伦,0,2019/9/17 22:22
温柔,很多人对周董的这首新歌评价不怎么样 但是无论如何 他都是我们再也回不去的青春了。,2,2019/9/17 22:22
哟哟鹿鸣,情歌本来就是简简单单纯真的，复杂拗口的歌词就是好吗?真的搞不懂有些人，旋律简单上口，不好听吗?也不知道自己的耳朵多高级，都是听什么音乐的。觉得不好听的就多听几遍！！！,1,2019/9/17 22:19
Z$Z,没想起什么人  现在跟男朋友也很好 但是 总有 说不出来的感觉..,0,2019/9/17 22:19
Jay,情歌本来就是简简单单纯真的，复杂拗口的歌词就是好吗?真的搞不懂有些人，旋律简单上口，不好听吗?也不知道自己的耳朵多高级，都是听什么音乐的。觉得不好听的就多听几遍！！！,0,2019/9/17 22:19
嘀嘀啦哒哒,不吹不黑。这首歌曲很一般。在周杰伦的歌曲里面属于较低档次、但是放眼整个华娱乐圈……好吧，实际上也很一般吧。。。,1,2019/9/17 22:19
哟哟鹿鸣,情歌本来就是简简单单纯真的，复杂拗口的歌词就是好吗?真的搞不懂有些人，旋律简单上口，不好听吗?也不知道自己的耳朵多高级，都是听什么音乐的。觉得不好听的就多听几遍！！！,0,2019/9/17 22:18
Shirley,杰伦，我们的一整个青春，总是能刺痛心中那最敏感的部分，每一次都是热泪盈眶。,1,2019/9/17 22:18
117,从爱在西元前开始，快要二十年了。我们的生活都在改变：周杰伦已是周董，我们从初中学生到为人父。周董难得出新歌，我们难得安静听一首歌。 买得起正版音乐，买不回浪费的青春。,1,2019/9/17 22:17
 ?????? ?????? ???,依然周杰伦,0,2019/9/17 22:17
Zzw,。。。,0,2019/9/17 22:17
菠萝格,爱你[em]e401236[/em]杰伦,1,2019/9/17 22:16
就顾,我想知道怎么赠送朋友,1,2019/9/17 22:16
醉後De溫柔,说好不哭,0,2019/9/17 22:16
Ayung.,神仙组合！,0,2019/9/17 22:16
越长大越孤单,你狠缺钱吗？各种要收费&nbsp;,0,2019/9/17 22:15
Lomgi,作为前60万的自豪,0,2019/9/17 22:15
　　　　　　　　,600万[em]e400825[/em],1,2019/9/17 22:15
?  篨泚と迯,为了你去下载qq音乐,1,2019/9/17 22:13
金鑫,听哭了 因为杰伦 因为你,0,2019/9/17 22:13
              。,喜欢真的是很奇妙的事情 长大了想想过去自己也真的很奇妙 不知道如何表达自己的心意  只能默默看着 说好不哭  好想在看她一遍  真的睡不着  _~-_去年的我,1,2019/9/17 22:13
沈一白。,"喜欢是多巴胺,爱是无数个晚饭后的晚安,早饭前的早安。",1,2019/9/17 22:12
浮灯,我的青春期里[em]e401236[/em][em]e401236[/em]真的都是Jay的歌,0,2019/9/17 22:10
丶Simple,不吹不黑。这首歌曲很一般。在周杰伦的歌曲里面属于较低档次、但是放眼整个华娱乐圈……好吧，实际上也很一般吧。。。,1,2019/9/17 22:08
事在人为.,听的都是满满的回忆，支持杰伦越来越好[em]e400116[/em],0,2019/9/17 22:08
樱小路,兰兰对不起，说好不哭,0,2019/9/17 22:07
Игорь,想和你一起去看周杰伦的演唱会，去看我们的整个青春[em]e400625[/em],0,2019/9/17 22:07
天明夜已残,可能杰伦吐字太清晰了所以太多人听不习惯导致吐槽新歌无亮点！[em]e400823[/em],0,2019/9/17 22:07
