date,tq,temp,wind
2011年1月1日,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011年1月2日,多云/阴,-2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月3日,晴/晴,1℃/-8℃,北风3-4级/无持续风向≤3级
2011年1月4日,晴/晴,-1℃/-11℃,无持续风向≤3级/无持续风向≤3级
2011年1月5日,晴/晴,-1℃/-8℃,北风4-5级/北风3-4级
2011年1月6日,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011年1月7日,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月8日,多云/晴,1℃/-8℃,北风4-5级/北风4-5级
2011年1月9日,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
2011年1月10日,晴/多云,-1℃/-7℃,无持续风向≤3级/北风3-4级
2011年1月11日,晴/晴,-1℃/-11℃,北风3-4级/无持续风向≤3级
2011年1月12日,多云/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
2011年1月13日,晴/晴,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月14日,晴/晴,-1℃/-10℃,北风4-5级/北风3-4级
2011年1月15日,晴/阴,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011年1月16日,晴/晴,-1℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011年1月17日,晴/晴,-1℃/-9℃,北风3-4级/无持续风向≤3级
2011年1月18日,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011年1月19日,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011年1月20日,晴/多云,0℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月21日,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011年1月22日,多云/多云,0℃/-9℃,无持续风向≤3级/北风3-4级
2011年1月23日,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
2011年1月24日,晴/多云,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
