岗位id,城市,公司全名,公司缩写,福利待遇,工作地点,学历要求,工作类型,发布时间,职位名称,薪资,工作年限,公司类型,公司规模,公司阶段
6335047,上海,天津市国瑞数码安全系统股份有限公司,国瑞数码,[],黄浦区,本科,产品|需求|项目类,10:29发布,数据分析师（上海）,8k-10k,1-3年,信息安全,150-500人,不需要融资
6200202,杭州,杭州随地付网络技术有限公司,随地付,"['绩效奖金', '交通补助', '弹性工作', '岗位晋升']",西湖区,本科,市场|商务类,11:56发布,商务助理,8k-15k,1-3年,金融,50-150人,B轮
6373674,北京,北京蚂蜂窝网络科技有限公司,马蜂窝,"['弹性工作', '扁平管理', '氛围好', '年度体检']",朝阳区,本科,产品|需求|项目类,2019/9/11,数据分析师,20k-40k,5-10年,旅游,500-2000人,D轮及以上
5546267,深圳,中国平安财产保险股份有限公司,平安产险,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",福田区,本科,开发|测试|运维类,00:00发布,数据分析与挖掘岗,15k-25k,3-5年,金融,2000人以上,上市公司
6201593,北京,北京拉勾网络技术有限公司,拉勾网,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",海淀区,本科,产品|需求|项目类,2天前发布,数据分析师,10k-18k,1-3年,企业服务,500-2000人,D轮及以上
6378395,北京,小船出海教育科技（北京）有限公司,作业帮,"['免费三餐', '技术氛围浓厚', '定期体检', '新鲜水果']",海淀区,本科,市场|商务类,14:50发布,数据分析（财务方向）(J12845),25k-30k,3-5年,工具,2000人以上,D轮及以上
6371650,成都,北京达佳互联信息技术有限公司,快手,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",高新区,本科,产品|需求|项目类,14:01发布,数据分析,8k-10k,1-3年,文娱丨内容,2000人以上,D轮及以上
6110420,杭州,杭州火烧云科技有限公司,婚礼纪,"['美女多', '六险一金', '快乐高效文化', '绩效奖金']",西湖区,本科,开发|测试|运维类,3天前发布,数据分析师,8k-14k,1-3年,消费生活,500-2000人,D轮及以上
6414552,杭州,杭州迪火科技有限公司,二维火,"['股票期权', 'BAT技术', '年度旅游', '五险一金']",拱墅区,本科,产品|需求|项目类,14:55发布,数据分析师,13k-22k,3-5年,消费生活,500-2000人,B轮
6414856,深圳,深圳市瑞宝麟财富投资管理有限公司,恒信永利,"['带薪年假', '节日礼物', '领导好', '弹性工作']",南山区,本科,产品|需求|项目类,13:32发布,数据分析师,9k-12k,3-5年,金融,2000人以上,不需要融资
5482634,北京,北京至上泽思信息技术有限公司,ZRobot,"['带薪年假', '年度旅游', '节日礼物', '领导好']",朝阳区,硕士,产品|需求|项目类,13:27发布,高级数据分析师,25k-40k,3-5年,"数据服务,企业服务",50-150人,不需要融资
6266665,上海,上海阅文信息技术有限公司,阅文集团,"['年终分红', '年底双薪', '五险一金', '交通补助']",浦东新区,本科,产品|需求|项目类,2019/8/26,商业分析师/数据分析师,20k-40k,3-5年,文娱丨内容,500-2000人,上市公司
6420177,成都,成都路行通信息技术有限公司,路行通,"['年度旅游', '岗位晋升', '五险一金', '弹性工作']",高新区,本科,产品|需求|项目类,09:35发布,数据分析师（碰撞场景探索与建模方向）,14k-20k,3-5年,消费生活,500-2000人,不需要融资
6418603,深圳,深圳市随手科技有限公司,随手科技,"['带薪年假', '弹性工作时间', '年度旅游', '岗位晋升']",南山区,本科,开发|测试|运维类,1天前发布,数据分析师,8k-15k,1-3年,金融,500-2000人,C轮
6417053,上海,深圳市房多多网络科技有限公司,房多多,"['节日礼物', '带薪年假', '扁平管理', '美女多']",闸北区,本科,产品|需求|项目类,1天前发布,数据分析师(J10470),10k-15k,1-3年,消费生活,2000人以上,C轮
5820001,上海,北京至上泽思信息技术有限公司,ZRobot,"['带薪年假', '年度旅游', '节日礼物', '领导好']",黄浦区,本科,产品|需求|项目类,13:27发布,数据分析师,15k-30k,3-5年,"数据服务,企业服务",50-150人,不需要融资
6333542,上海,上海唯都市场营销策划股份有限公司,上海唯都,[],徐汇区,本科,产品|需求|项目类,09:25发布,数据分析师,3k-5k,应届毕业生,广告营销,150-500人,未融资
6410872,北京,北京势在必行网络科技有限公司,币信,"['带薪年假', '午餐补助', '定期体检', '弹性工作']",朝阳区,本科,产品|需求|项目类,1天前发布,数据分析,15k-30k,不限,移动互联网,50-150人,不需要融资
