index_label,addTime,content,gender,id,uid,uname
0,2019-08-04 19:13:36,现场观众都是看脸了吧！面孔的分数太低了,0,213811564521,1777880871,I am 70后
1,2019-08-04 19:09:52,bongbong乐队，这是什么鬼[冷汗],0,213811252121,1777880871,I am 70后
2,2019-08-04 18:13:37,可以,1,213806574321,1306519507,阿森纳的亨利
3,2019-08-04 13:41:58,那一句，不能因为我们长的帅就……我真的是笑了，哪来的自信？我的天呀,0,213782597421,2411073112,饼子脸睡不醒
4,2019-08-04 12:21:26,太好听了,0,213774668621,1267033400,L 西米露
5,2019-08-04 10:56:33,我是柳州人我来支持螺蛳粉乐队[色][偷笑][害羞]加油,0,213766381121,2312949174,翻回過去那一頁
6,2019-08-04 10:45:53,万青，草东，丢火车，后海，九宝，杭盖，谢天笑这些其实我也很喜欢只是没有来,0,213765262421,1605979722,王客观呐
7,2019-08-04 10:26:29,要结束了，不舍，重头再看一遍,0,213763153121,1416590243,爱吃披萨的万俟奥维
8,2019-08-04 03:26:21,乐队要留下点什么不轻易被时间抹去，面孔做到了，至少在我这里。,0,213733981621,1096778655,9692385
9,2019-08-04 03:22:58,大家对完美级面孔理解不足，很心痛,0,213733954121,1096778655,9692385
10,2019-08-04 03:16:36,个人非常喜欢面孔。因为太完美，所以和个性难以融合，高度难以企及，让人望而却步的高级感，通俗的说缺少接地气。反正我是非常喜欢,0,213733829321,1096778655,9692385
11,2019-08-04 03:11:08,面孔非常棒！非常的稳，非常的大气，完美,0,213733777721,1096778655,9692385
12,2019-08-04 02:03:43,子云说好看，然后我来的～～,1,213732250021,1555303361,标准小角色
13,2019-08-04 01:11:57,回看，盘尼西林不还是老英伦，你还不是夸的赞不绝口，请问前两期的盘尼有啥创新了？,1,213729746521,1462236032,龙龙龙龖龖龘龘龘
14,2019-08-03 23:46:43,你看面孔上来，亚东的笑。,1,213717982021,1735654173,冬至饺子666
15,2019-08-03 23:19:14,晓松老师果然说了点果儿的事,1,213714747221,1735654173,冬至饺子666
16,2019-08-03 22:59:58,所有的果儿，躁起来,1,213712314821,1735654173,冬至饺子666
17,2019-08-03 22:53:38,亚东还是那么帅,1,213711563621,1735654173,冬至饺子666
18,2019-08-03 22:21:34,乐队是不是应该还有果儿,1,213707371221,1735654173,冬至饺子666
19,2019-08-03 20:51:08,我喜欢盘尼的吉他啊，旋律很好听。,1,213695932521,1327149370,饿极了啦啦啦
20,2019-08-03 19:57:30,超爱 刺猬！！！,1,213690492921,1327411056,斌ge哥
21,2019-08-03 01:20:18,第一次看，有些不懂的地方，还请关照,1,213602577421,1437563870,从没什么
22,2019-08-03 01:01:34,练习生是真的惨 嘻哈圈容不下乐队圈也容不下,0,213601262721,1344717866,美愈天人的布莱特妮伊瓦涅
23,2019-08-02 14:24:32,面孔的《梦》，这个分太低了，个人认为，遥遥领先,0,213531025521,1777880871,I am 70后
24,2019-08-02 00:40:21,我很想知道一千多只乐队选出的三十一只，这一千多只是那些乐队？好多好的乐队没来吧，还是选评组的人只有这点水准？喜欢面孔和痛仰，可他们同级的乐队没两个吧，盘尼西林的风格也很喜欢，这只能算新声吧。,1,213470914821,1639505787,鸡毛山爷们
25,2019-08-01 22:39:45,这眼神简直一级棒啊哈哈哈哈😂🙄️🙄️🙄️,1,213454141421,1264583720,草莓在我家
26,2019-08-01 21:02:15,B哥十月复出是真的吗,1,213441308321,1582023431,杜谚明
27,2019-08-01 19:04:37,听到乐队上台演唱我就很开心，超级开心，只要听的时候快乐就好了，你们都是最酷的,0,213429070021,1498107722,喜欢看书的夏侯元冬
28,2019-08-01 13:33:40,为啥长发都得盘起来？,0,213399792221,1750344089,靈.魂～
29,2019-08-01 12:27:58,哈哈哈，好多个,0,213392972821,1478147624,喜欢吃火锅的东里冰夏
30,2019-08-01 09:18:36,海龟先生不来了？？,1,213372828221,1749234163,沧笙....
31,2019-07-31 16:27:37,大爱盘尼西林,1,213286507021,1495651361,狂野猎手～
32,2019-07-30 18:15:49,6,1,213169999921,2185540643,zgwkj121
33,2019-07-30 15:08:58,和平精英来的,1,213152537121,1551124276,喜欢喝绿茶de北堂映天
34,2019-07-30 09:52:38,这么好的节目为什么不大火啊，可惜可惜,1,213078567521,1708206126,我的世界我的浮夸丶
35,2019-07-29 23:21:12,有喜欢旋死风格的小伙伴吗？？。,1,213033011421,1685159901,对悦悦着迷✨
36,2019-07-29 23:04:58,支持痛仰[阴险],0,213030999721,1389491048,杨雨婷婷婷婷婷婷婷婷
37,2019-07-29 22:36:04,超级乐队？？？,0,213027359221,1428316387,爱跳街舞の长孙驰婷
38,2019-07-29 21:53:32,这里有郁乐队的粉丝嘛，我想和你握个手。,1,213021492721,1685159901,对悦悦着迷✨
39,2019-07-29 18:28:02,第一唱的是谁 同桌的你咋唱成这样,0,212999034221,1757182892,放心去飞521
40,2019-07-29 14:04:41,越来越喜欢旅行团，实话，会让人越来越爱的乐队,0,212974471421,2155384952,muqqqw
41,2019-07-29 13:00:22,鹿先森乐队没来吗？,1,212968064421,2332731627,大太阳~_wx1646
42,2019-07-29 02:08:11,Beyond,1,212919372221,1430042376,爱吃橘子の主父怜双
43,2019-07-29 01:48:13,我又不懂！ 好听就行,1,212918647221,1430042376,爱吃橘子の主父怜双
44,2019-07-28 18:53:29,牛逼。场面控制一级棒。反光镜,1,212870582621,1031436173,手机用户139****1611
45,2019-07-28 17:50:22,哦，,1,212864930421,2421601538,哥依然很一般
46,2019-07-28 15:18:26,乐队后面可以请五月天吧,1,212851174821,1659349750,超爱吃火腿の独孤茗雪
47,2019-07-28 11:47:28,盘尼西林主唱差点意思,1,212831446021,1761891526,天涯 江伟
48,2019-07-28 10:45:25,超级喜欢😘,0,212825059521,1227120197,♀美丽心情℃
49,2019-07-28 10:42:22,太好看啦，优秀,0,212824741721,1227120197,♀美丽心情℃
50,2019-07-28 06:16:49,哭啥询问我抹抹药是什么时候  zms,1,212798245221,1367482930,刘先生嘿嘿
51,2019-07-27 21:50:39,被石璐圈粉了，打架子鼓太帅了,0,212764186021,1567509920,loves＆girl~
52,2019-07-27 00:14:37,深夜来袭哈哈哈,0,212660339821,1353029329,李  つ😘つ三岁
53,2019-07-27 00:13:59,反光镜啊啊啊，痛仰啊啊啊，天呐这个节目太棒了吧，能看到这么多乐队聚在一起太棒了吧，虽然说还是有些好听的乐队没有来，像脑浊 草东没有派对他们，但是已经很满足了呀，毕竟现在除了挨个去听他们的专场，音乐节也不会请这么多乐队，但乐队其实有很多种风格，不光是摇滚，就算是摇滚也都有不同的感觉，所以能在一场节目的时间里听到风格各异的歌，太好了，请节目组用心做下去,0,212660189521,1353029329,李  つ😘つ三岁
54,2019-07-26 21:01:35,国内有厉害的工金乐队吗安利一下～(*σ´∀`)σ,0,212634693121,1771255938,曼胖是小公举鸭～
55,2019-07-26 20:47:54,一直感觉国内摇滚圈现在也挺不错的但是一直没机会了解，现在解决了！,0,212633267221,1771255938,曼胖是小公举鸭～
56,2019-07-26 17:14:10,厉害了，活生生把一部正片减成了预告片,1,212613017421,1752707779,萌新小可爱1996
57,2019-07-26 16:49:12,喜欢皇后皮箱,0,212610833221,1549950370,暴发户99
58,2019-07-26 14:42:12,面孔我继续支持你！,0,212600310421,1290498668,沁雪之樱
59,2019-07-26 14:41:19,我的评价呢？咋看不见？,0,212600215021,1290498668,沁雪之樱
60,2019-07-26 14:40:07,第一次比赛，面孔的歌声演奏都简直太美了，可惜分数太低，估计不懂音乐的评委太多了吧？这太不公平了，我打满分💯！,0,212600153621,1290498668,沁雪之樱
61,2019-07-26 14:05:25,这个综艺频道很好看。,1,212597052421,1750631708,条龙莫
62,2019-07-26 13:51:33,面孔的分数出来的那一刻我变傻逼了，这节目大众评委都是一群不懂音乐的小鸡崽子,1,212595712321,1104616253,134****1227_m1128
63,2019-07-25 17:59:04,对乐队完全没接触过，不是我的菜，换综艺节目看,1,212493840321,1471767057,A 金汝伟
64,2019-07-25 12:22:01,说五月天当评审的肯定是外行,1,212463595721,2416340181,雲閃
65,2019-07-24 23:39:03,乐队终于站起来了,0,212407154021,1681618788,用户643b7764
66,2019-07-24 20:11:57,花儿在就好,0,212381578921,1613927215,鸡屎藤糕
67,2019-07-24 17:51:38,没有市场！有钱砸钱玩而已,1,212369307321,1253811018,大汉子民23
68,2019-07-24 09:37:58,强烈推荐找窦唯来嘉宾主持,0,212323610721,1522565357,lucky邢丽颖
69,2019-07-24 00:50:05,嗯,0,212293551521,2493111081,绿叶_qq5062
70,2019-07-23 19:45:35,非常好，好看好玩,0,212254826521,1459965753,爱吃豆包的相里品韵
71,2019-07-23 18:24:28,为什么现在的乐队都无法超越BYOND，作词作曲还需努力啊，灵魂和共鸣很重要,0,212247167321,2055548022,卢小芯的芯
72,2019-07-23 06:57:49,挺好的,0,212179050021,1674284554,辰辰宝宝亲亲
73,2019-07-23 01:03:10,李素丽你漂亮吗[快哭了][快哭了][快哭了],0,212166813321,2418211877,肉肉_wx3182
74,2019-07-23 00:36:22,好看,1,212164099721,1661040525,×朱古力×
75,2019-07-22 23:21:42,挺好看哒！[微笑],0,212153416121,1769176118,＼萌咖软妹
76,2019-07-22 21:21:50,人间惆怅客很动听，我很喜欢听这风格的音乐，我要下载这首歌！,1,212137603121,1732259947,于毫十岁的声音
77,2019-07-22 21:18:44,感觉皮箱乐队歌旋律柔和很好听。,1,212137181721,1732259947,于毫十岁的声音
78,2019-07-22 21:16:59,从来都不喜欢听摇滚音乐吵死人了，只有PK才有兴趣听一下！,1,212136892321,1732259947,于毫十岁的声音
79,2019-07-22 21:07:03,超级喜欢旅行团  他们的歌反复听了好多遍!,0,212135590121,1260265258,会飞的熊熊熊熊
80,2019-07-22 19:35:46,不和气，不过审啊,0,212125714521,2277211547,尔雅_wx1508
81,2019-07-22 16:14:58,太棒了,0,212107772821,1772779919,用户69aa798f
82,2019-07-22 15:44:11,盘尼西林态度不喜欢,1,212105219921,1108815501,阮籍与嵇康
83,2019-07-22 01:00:55,跟超级乐队比还是差距太大,1,212041109321,1188087491,hl-940516
84,2019-07-21 19:17:11,面孔唱得那么有内在精神气儿，居然分数那么低，现场的人怎么投票的？？？,0,211999589921,1307417603,卖萌的小女孩啦啦啦啦
85,2019-07-21 18:11:26,辉哥 声音不是一般的棒！,1,211993674521,1274428380,185****8761_m1538
86,2019-07-21 15:47:50,爱了,0,211980781421,1519346336,bxnlcg
87,2019-07-21 15:44:21,感觉现场差瓶啤酒🍺,0,211980434821,4668350786,2B898F7F-1564-494F-AB35-309C34136C37
88,2019-07-21 15:05:18,贝斯乐队的灵魂,0,211976883221,4668350786,2B898F7F-1564-494F-AB35-309C34136C37
89,2019-07-21 14:29:26,没叉子不开心,0,211973666621,4668350786,2B898F7F-1564-494F-AB35-309C34136C37
90,2019-07-21 14:08:24,为什么在前面以及面孔那总有人刷黄家驹，黄家驹很厉害没毛病，地位也高，音乐也好，可说到底跟节目没关系，跟回忆的片段也没关系，甚至哪怕有个香港乐队来刷也理解，可没有，总有人在密集的刷。。。,1,211971600121,1720016692,MZBZCLHF
91,2019-07-21 14:06:30,|我好想听学猫叫啊，或者沙漠骆驼也行啊！,1,211971392521,1365734151,鑫与晨88
92,2019-07-21 12:26:23,为了旅行团和反光镜来看,0,211961218021,2197607804,发光发亮的小超人
93,2019-07-21 10:12:28,只喜欢年轻哪两支，年轻有上升空间，那些都是老江湖了,0,211947036221,1508603972,喜欢吃香蕉子书志
94,2019-07-21 10:03:56,没叉子不开心,0,211946048321,4668350786,2B898F7F-1564-494F-AB35-309C34136C37
95,2019-07-20 23:21:48,鼓手厉害啊,1,211901644121,1355089212,爱拉小提琴de乐正锐立
96,2019-07-20 21:36:16,九连真人,0,211887202621,1582090728,QQ米歇尔
97,2019-07-20 21:25:12,有没有后摇乐队啊[流泪]辋闻文雀晨曦光廊[委屈],1,211885868721,1701814035,後搖十一公子
98,2019-07-20 20:30:34,张亚东老师台上好像有点紧张,0,211879322221,1314527200,现女友王楚惟
99,2019-07-20 19:32:50,我97年，听到面孔的音乐，浑身鸡皮疙瘩都起来了，这现场的评委我服了。,1,211873726621,2116789467,殘雲
100,2019-07-20 19:02:07,男团的出现是什么鬼[微笑],0,211870862521,1676911039,一 起 看 月 亮 吗 ☽
101,2019-07-20 17:58:48,来康青峰,0,211865774221,2512033719,波啵若若不如叉！
102,2019-07-20 17:20:57,乐队最好的年代，1980，1990年代已经一去不复返了，至少现在看来五十年内都不可能再有那样自由的时代了。,1,211862439821,1756566758,sphny乂
103,2019-07-20 16:38:44,这些练习生简直就是来搞笑的,0,211858771421,1291171934,一朵小乌云呀
104,2019-07-20 15:19:52,刘阳子是干嘛的？凭什么让人让啊！你先让一个呗！,0,211851951221,1395844571,土豆一枚哈哈哈😄
105,2019-07-20 14:13:03,这节目哪里都好，唯一的缺点就是观众投票。     ,1,211845983521,1440446430,舞乄不懂
106,2019-07-20 13:42:44,总的来讲，刺猬的第一名我是能接受的。,0,211843261321,2485674681,覃又青_wx1143
107,2019-07-20 11:48:32,很不错,0,211832147921,1498068286,此昵称为空👧🏻
108,2019-07-20 10:11:42,[微笑],0,211822660221,1562265080,洛申灵
109,2019-07-20 09:47:21,痛痒跟那个什么15评分吧应该我猜的,1,211820203621,1188309517,爱奇艺搜冰城
110,2019-07-19 23:17:15,我太肤浅了，我只知道香港有个beyond。挺经典的！不过感觉摇滚已成为历史，现在不行！,1,211776100121,2204818863,龙城那狂拽霸酷...
111,2019-07-19 20:28:13,起来哟。,0,211754142021,1763680029,单挑发一下
