index_label,content,likedCount,name,nickname,time,userId
0,网易终于在这个日子把版权买回来了！[强][强][强],27736,神话情话 (粤),biubirthday,2018-10-31 08:56:13.152,511129151
1,这世界越来越配不上这些歌了,16724,神话情话 (粤),程大小峰,2018-11-06 21:08:44.657,113697835
2,"金庸老师，一路走好！
飞—《飞狐外传》
雪—《雪山飞狐》
连—《连城诀》
天—《天龙八部》
射—《射雕英雄传》
白—《白马啸西风》
鹿—《鹿鼎记》
笑—《笑傲江湖》
书—《书剑恩仇录》
神—《神雕侠侣》
侠—《侠客行》
倚—《倚天屠龙记》
碧—《碧血剑》
鸳—《鸳鸯刀》武侠名家一路走好",15466,神话情话 (粤),纫兰为佩v,2018-10-31 13:10:44.792,342461152
3,这是个关于完美的故事，一开始，年少轻狂的杨过配不上惊为天人的小龙女，所以，小龙女必须失贞；失贞后的小龙女又似乎配不上越来越成熟的杨过，所以，杨过必须断臂；两个看似残缺的人终于在一起，却比那些世人的爱情更加完美，只因为他们更懂得珍惜彼,11583,神话情话 (粤),TT是不是傻,2018-11-05 13:06:15.907,336298328
4,"弟子曾问郭襄：是否已忘记杨过？
她说：早已忘记。
弟子又问：那为何，还隐居于此呢？
郭二小姐回答：因为这峨眉山顶的云和霞，像极了十六岁生辰那天的烟花。",7034,神话情话 (粤),大鹏老师的礼物,2018-11-06 23:06:30.533,1313695173
5,我在想林夕要是在唐代是不是李白的存在。,4659,神话情话 (粤),shiv_vet,2018-11-06 18:07:14.426,351279918
6,郭襄：倘若妈妈先生我，我学会了龙象般若功和无上瑜珈密乘，在全真教道观外住下来，自称大龙女，杨过在全真教中受欺侮，逃到我家里，我收留了他教他武功，他慢慢的自会跟我好了。他再遇到小龙女，最多不过拉住她手，说道：“小妹子，你很可爱，我心里也挺喜欢你不过我的心已属大龙女了，请你莫怪！”,4496,神话情话 (粤),陶朱公三聚三散,2018-11-07 19:33:05.831,1343575195
7,感觉合唱部分一直是女声掩盖男声，直到副歌时周华健才唱出气势，就像小说里，开始时是为师的小龙女武功高强，替杨过出气，后面则是杨过修成神功，做小龙女的护花使者,4213,神话情话 (粤),-亞詶區百事巨星Leslie继續寵愛-,2018-11-09 22:30:41.506,116586015
8,古天乐之后再无杨过，李若彤之后再无小龙女。,3576,神话情话 (粤),3年2,2018-11-09 20:23:28.186,412186649
9,金庸武侠剧最养眼男女主,1961,神话情话 (粤),王公子爱你呦,2018-11-05 12:59:24.906,94070920
10,"以前我看到
“所爱隔山海，山海不可平”

那时我觉得
“海有舟可渡，山有路可行”

后来才发现
“山海皆可平，难平是人心”",1578,神话情话 (粤),Hangover_-__,2018-11-25 09:53:02.579,255321692
11,",金老先生在明报连载这部小说的时候原名:天残地缺",1424,神话情话 (粤),遇見方蛮蛮,2018-12-21 22:46:53.840,393841129
12,经多方查资确认，歌词第二句后四字应为  乍惊乍喜  （望更改）,1222,神话情话 (粤),爱嚎的小猪,2018-11-11 01:25:26.905,510766687
13,古天乐就是杨过，李若彤就是小龙女,1090,神话情话 (粤),又何必介怀心上,2018-11-12 22:38:45.865,374754777
14,正在听这首歌，去拍婚纱照的路上[奸笑][奸笑],818,神话情话 (粤),寞尛小奇,2018-11-23 06:50:27.204,487621267
15,每次听这首歌都会想起大学毕业时的情景，想念那帮兄弟啊，有木有人会在这里看见我的评论呢。——王华宇,58810,再见,静水流深823,2014-10-19 19:31:25.646,31043484
16,送给所有已经或者将要分别的朋友，感谢你们都曾出现在各自的生命里。也许，感情终会清淡，友人不再重逢，唯有我们共同的回忆，能在时间的长轴上留下抹不掉的印记。 相遇相识相知即是缘分，一切的离别，都是下一段旅程的开始。愿你们旅途愉快，安好。,26743,再见,边城男孩,2014-11-17 00:37:51.130,16182063
17,有太多的人，都没有好好的说再见[流泪],18913,再见,人海里流着浪,2014-12-02 20:51:35.995,10043298
18,记得上次听到这首歌恰逢学姐的毕业季，一边听着歌一边流着泪在键盘上打着“没有你的一年我该如何度过”，如今一年过去了，已是我的毕业季，却没了那份悲情。其实没有谁都能过下去，新的朋友，新的爱人，新的生活。没有谁离不开谁，只要你愿意。,16409,再见,兔子乐师,2014-12-05 00:42:06.728,11357144
19,这首歌适合每个人，你觉得不是，只是时间未到！,14423,再见,Chasel涩,2016-03-07 10:23:12.470,98412288
20,大学毕业，大巴车上听了一路的歌，没有故事，没有酒，我只是个平凡人，平凡的午后，离开了平凡的学校……,11427,再见,94Simple,2018-03-22 21:31:57.003,253213822
21,我怕的不是说再见，而是在店里等你，你却再也不见了。,7025,再见,小红痣,2018-08-02 10:10:38.198,469765237
22,毕业的时候听到合唱团唱这首歌眼泪刷地就留下来了,6066,再见,方片大盗,2014-11-23 10:07:37.460,42655392
23,大四毕业那晚的年级聚餐，一群男生围着年级辅导员唱这首歌，唱着唱着，年级辅导员哭了，围唱的男生哭了，女生哭了，全年级的同学几乎都哭了。我还深深记得，在那一刻，自己回首一顾，亚叔那夺眶而出的热泪，仿佛所有的青春美好都在那一刻结束于此。见与不见或者并不重要，愿曾经相逢的人一切安好吧！,5733,再见,挥拳喝彩,2016-03-06 12:03:35.914,71291223
24,看楼上,5411,再见,丹阳真老,2015-05-19 17:19:21.114,16532810
25,初二的时候我们英语老师要转走了 我们真的真的很喜欢她 然后就为她唱了这首歌 我记得特别特别清楚 那天阳光很好 我一笔一笔在黑板写下歌词 然后英语老师走进来我们就开始唱 我唱着唱着就哽咽了 英语老师就笑着看着我们 但我有看到她偷偷背过去擦眼泪 现在我已经高二了 一听到这首歌就特别想她.,4080,再见,咬口奶油,2018-03-31 19:38:14.660,384373317
26,高四狗，遇见了那个女孩，一年都没有好好说过一句话，高考以后连说声再见的机会都没有，听说她喜欢网易云，我就想好好和你说声，明天我就要离开熟悉的地方和你。我会牢牢记住你的脸。     再见   wen霞[流泪],3926,再见,系益力多先生,2018-06-10 18:57:07.008,487311048
27,人人影视再见！[憨笑],3440,再见,自由行走的草,2014-12-25 03:33:16.078,42441769
